report_id,user_id,date,report_type,has_note,quality_adult,n_photos,location_choice
56352774-90cd-4cee-95dd-f59e94e44209,472d4e71-7c53-475e-aed6-551d8e3f2202,2020-12-29 00:22:55.639000+00:00,bite,False,n/a,0,current
9872a5ef-407c-4027-8a1f-721dcd113998,689c0193-516a-45dd-9f76-d00c6382dba5,2020-12-29 22:47:50.071561+00:00,bite,False,n/a,0,selected
a652152e-c5fd-41da-8200-3d5040726bc1,ccc41b11-2a59-4c7c-b70f-6763e6993b6b,2020-12-31 00:39:14.231470+00:00,bite,True,n/a,0,current
252a7ff4-1324-4026-a58c-b990078bed26,4c34d9a8-9d3f-4fbb-8c6b-408057481040,2020-12-31 04:19:50.657308+00:00,bite,False,n/a,0,current
8f21331c-08f2-4277-8ffb-184ee5e9a2c2,53f9559d-9a2c-4dda-aa7c-ac84e4163d31,2020-12-31 01:49:28.464246+00:00,bite,False,n/a,0,current
8eab9d83-4a47-4e37-a401-f685059cbe27,fa89d667-6a9d-43ed-bbb5-98d52770ec1d,2020-12-18 00:51:21.342704+00:00,bite,False,n/a,0,current
2d0d0a0c-4882-4a08-8ed6-8d47366f2f0e,f16132f7-0e6f-476b-8cf4-1db3bf02a335,2020-11-16 22:19:58.013508+00:00,bite,True,n/a,0,current
d47e6b24-48ce-45d7-94bb-6974ded3a9d1,614e63ef-48cd-4e50-99de-3512db81c47e,2020-11-27 19:14:58.485511+00:00,bite,False,n/a,0,selected
7e2be88b-40bb-436f-ab19-b5033c305e27,5bbe7d88-2085-48de-96df-daf020810564,2020-12-02 01:05:50.054912+00:00,bite,False,n/a,0,current
56141d9f-ef98-4152-bb55-1b535f62f469,58ddbfcc-1026-4439-be29-928f771d3a2d,2020-12-23 02:12:48.401695+00:00,bite,False,n/a,0,selected
7f2fde85-3783-4e3b-9039-9c1291e4c601,2a18d6f6-05e1-47e4-b015-c99c282d8df4,2020-12-22 19:03:52.397730+00:00,bite,False,n/a,0,current
16b6a03e-55de-43ec-8dc8-7c98154bf81e,ed16b614-bce8-4502-ac78-c84f564f0e5f,2020-10-11 11:01:17.584236+00:00,bite,False,n/a,0,current
c6091406-75cd-44ee-ab7d-72931ad22b07,1d3fb0a7-d1c1-48c2-8a4e-c9e5b1388664,2020-12-25 00:00:32.500237+00:00,bite,False,n/a,0,current
7f46fe1f-5e5b-4d9a-a085-ebd8e5e0502c,9d358151-698f-43e4-b6c7-3a027ab56e3e,2020-12-27 22:53:20.875633+00:00,bite,False,n/a,0,current
43af2e06-13a8-4528-b204-498e45c392bc,45c1edf8-f4c2-4f15-96b6-774951ad6197,2020-12-28 15:07:04.221633+00:00,bite,False,n/a,0,current
8c3b798f-020c-484b-8089-d8f0d0577078,6b018900-35ed-4a85-a34d-c57d6936c64f,2020-12-28 17:20:20.467619+00:00,bite,True,n/a,0,current
b435930b-330c-46c7-85b3-98b820d570e7,520f20a5-c8bd-4629-8566-26ae3aeb6ea9,2020-12-21 23:01:53.995935+00:00,bite,False,n/a,0,current
6d0f5926-bc0b-49c6-95a1-1162dd4e8afb,fe135122-af28-4e6e-927b-7343f368544f,2020-10-28 02:03:28.152891+00:00,bite,False,n/a,0,current
7868621e-01e9-4e7d-a814-0c7c19f672eb,8332ad90-7c9a-43a0-88e8-f00f2cace427,2020-11-02 00:37:42.098014+00:00,bite,False,n/a,0,current
37f8690c-c575-40e1-b6e7-9a866c790b2b,8652fe9e-e668-4655-884f-3e09c981bf18,2020-10-12 18:45:33.379151+00:00,bite,False,n/a,0,selected
